Title,Company,Description,ContractType,Skills
Data Governance Lead,AI Pioneers,Collaborate with stakeholders to implement data-driven strategies.,Freelance,NoSQL - Oracle - Deep Learning
Chef de Département,HRS HOSPITALITY & RETAIL SYSTEMS,Manage data warehouses and optimize query performance.,CDD,Hadoop - Power BI - Docker - Pandas
Business Intelligence Analyst,Data Masters,Design and maintain data architectures and pipelines for large scale data processing.,CDD,Spark - React - Data Visualization - Data Architecture
QA Tester,AI Pioneers,Design and maintain data architectures and pipelines for large scale data processing.,CDI,NoSQL - Numpy - Pig
AI Specialist,Future Data,Responsible for analyzing complex datasets to derive meaningful insights.,Freelance,Kubernetes - Business Intelligence - Numpy - Pandas - Big Data
Network Architect,Big Data Services,Collaborate with stakeholders to implement data-driven strategies.,CDD,AWS - Machine Learning - Big Data - Spark
Business Intelligence Analyst,Data Driven,Develop scalable and secure cloud-based data solutions.,CDI,Node.js - Big Data - Data Mining - Data Governance
Cloud Data Engineer,Data Masters,Responsible for analyzing complex datasets to derive meaningful insights.,Stage,Azure - Power BI - Tableau
QA Tester,Data Engineers United,Leading the development of machine learning models to optimize business processes.,Freelance,SQL - Hive - Deep Learning
Database Administrator,HRS HOSPITALITY & RETAIL SYSTEMS,Develop scalable and secure cloud-based data solutions.,CDD,Data Architecture - Business Intelligence - Tableau - Data Visualization - Data Governance
JAVASCRIPT Developer,HRS HOSPITALITY & RETAIL SYSTEMS,Develop scalable and secure cloud-based data solutions.,CDI,Deep Learning - JavaScript - Business Intelligence
Data Analyst,AI Pioneers,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,GCP - Spark - Tableau - Big Data
Data Consultant,Data Driven,Collaborate with stakeholders to implement data-driven strategies.,CDI,Big Data - Data Visualization - Data Mining - Java - Power BI
Data Analyst,Tech Innovators,Leading the development of machine learning models to optimize business processes.,Stage,Docker - Node.js - Azure
Data Engineer,Data Masters,Manage data warehouses and optimize query performance.,CDD,NoSQL - Kubernetes - Data Mining
Network Architect,Big Data Services,Provide technical expertise in data analysis and business intelligence.,Stage,Pig - Big Data - JavaScript
Cloud Engineer,Tech Solutions,Design and maintain data architectures and pipelines for large scale data processing.,Statutaire,Java - Docker - JavaScript - GCP
SWIFT Developer,Data Engineers United,Responsible for analyzing complex datasets to derive meaningful insights.,Stage,Power BI - Data Governance - Pandas - Kubernetes
AZURE Solutions Architect,Future Data,Design and maintain data architectures and pipelines for large scale data processing.,Statutaire,Tableau - Kubernetes - Cloud Computing - Keras - Power BI
Cloud System Integrator,Data Engineers United,Manage data warehouses and optimize query performance.,CDI,Power BI - JavaScript - SQL Server
Sales Manager,DataCorp,Responsible for analyzing complex datasets to derive meaningful insights.,Statutaire,React - AWS - SQL
REACT Developer,Data Driven,Develop scalable and secure cloud-based data solutions.,Freelance,Big Data - Scikit-learn - Numpy - Business Intelligence
Data Governance Lead,Tech Solutions,Manage data warehouses and optimize query performance.,CDI,R - Cloud Computing - Pandas - Business Intelligence - Numpy
Cloud Engineer,AFRICASHORE,Responsible for analyzing complex datasets to derive meaningful insights.,Statutaire,Power BI - Pandas - SQL Server - Big Data - Node.js
NODE.JS Developer,Cloud Innovators,Collaborate with stakeholders to implement data-driven strategies.,Stage,Data Mining - Data Visualization - AWS - Spark
Network Architect,Future Data,Work on data integration and ETL processes to ensure data quality.,CDD,Power BI - TensorFlow - NoSQL - SQL Server - Data Visualization
Développeur Python,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Implement data governance frameworks and ensure compliance with data regulations.,Statutaire,Hadoop - Keras - Data Governance - SQL Server - GCP
Data Analyst,Big Data Services,Collaborate with stakeholders to implement data-driven strategies.,Freelance,Kubernetes - Data Architecture - Pig - Oracle - Keras
Sales Manager,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Responsible for analyzing complex datasets to derive meaningful insights.,CDI,Data Architecture - Node.js - JavaScript - TensorFlow
Data Scientist,Tech Innovators,Leading the development of machine learning models to optimize business processes.,Statutaire,Azure - Big Data - Data Visualization
Data Architect,Data Masters,Work on data integration and ETL processes to ensure data quality.,Freelance,Keras - Data Governance - Cloud Computing - SQL
Cloud System Integrator,DataCorp,Leading the development of machine learning models to optimize business processes.,Freelance,Java - Pandas - Node.js
Database Administrator,Tech Solutions,Manage data warehouses and optimize query performance.,CDI,Node.js - JavaScript - TensorFlow
QA Tester,Cloud Innovators,Manage data warehouses and optimize query performance.,Statutaire,AWS - Node.js - Business Intelligence - Keras
Data Analyst,Machine Learning Labs,Develop and deploy machine learning algorithms to solve complex problems.,CDD,R - Pig - AWS - Spark - Python
PHP Developer,Machine Learning Labs,Leading the development of machine learning models to optimize business processes.,CDI,Cloud Computing - TensorFlow - Docker - Java
AI Specialist,AI Pioneers,Implement data governance frameworks and ensure compliance with data regulations.,Freelance,Azure - SQL - Machine Learning - Docker - Data Mining
AWS Cloud Architect,Future Data,Develop and deploy machine learning algorithms to solve complex problems.,CDD,Kubernetes - Scikit-learn - GCP - Numpy - Pig
PHP Developer,Machine Learning Labs,Provide technical expertise in data analysis and business intelligence.,Statutaire,Keras - Data Architecture - Hadoop - NoSQL - Pandas
Data Engineer,Big Data Services,Develop scalable and secure cloud-based data solutions.,Statutaire,Data Visualization - NoSQL - SQL Server
Data Consultant,Tech Solutions,Develop scalable and secure cloud-based data solutions.,Statutaire,Tableau - Data Architecture - Oracle
NODE.JS Developer,AI Pioneers,Collaborate with stakeholders to implement data-driven strategies.,CDD,Scikit-learn - Hive - GCP - Docker
Consultant SAP,Machine Learning Labs,Collaborate with stakeholders to implement data-driven strategies.,Stage,Business Intelligence - Node.js - SQL Server
Business Intelligence Analyst,Tech Innovators,Develop and deploy machine learning algorithms to solve complex problems.,Freelance,Node.js - Cloud Computing - SQL - Machine Learning - Hadoop
PHP Developer,Tech Solutions,Design and maintain data architectures and pipelines for large scale data processing.,Statutaire,Data Governance - Data Visualization - SQL Server - TensorFlow - AWS
Data Engineer,AMENTYS,Provide technical expertise in data analysis and business intelligence.,Freelance,NoSQL - Hadoop - Power BI - Pandas
JAVASCRIPT Developer,DataCorp,Responsible for analyzing complex datasets to derive meaningful insights.,CDD,Node.js - Pandas - SQL Server - TensorFlow
AWS Cloud Architect,Data Engineers United,Responsible for analyzing complex datasets to derive meaningful insights.,CDD,Data Visualization - Azure - React - Big Data
Chef de Département,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Collaborate with stakeholders to implement data-driven strategies.,Statutaire,Keras - Data Architecture - Spark - Tableau
Database Administrator,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Implement data governance frameworks and ensure compliance with data regulations.,Stage,NoSQL - Oracle - R
Cloud System Integrator,AMENTYS,Develop and deploy machine learning algorithms to solve complex problems.,Freelance,Keras - Spark - Kubernetes - Machine Learning - TensorFlow
Database Administrator,Cloud Innovators,Provide technical expertise in data analysis and business intelligence.,CDI,Java - JavaScript - Azure
NODE.JS Developer,Cloud Innovators,Responsible for analyzing complex datasets to derive meaningful insights.,Statutaire,Oracle - Machine Learning - React - Scikit-learn - Deep Learning
SWIFT Developer,AFRICASHORE,Collaborate with stakeholders to implement data-driven strategies.,Statutaire,Keras - Deep Learning - R - Kubernetes - Azure
Cloud System Integrator,AI Pioneers,Implement data governance frameworks and ensure compliance with data regulations.,CDI,Pandas - Deep Learning - Azure
Data Architect,Tech Innovators,Develop and deploy machine learning algorithms to solve complex problems.,Stage,JavaScript - Scikit-learn - Machine Learning - Power BI
Cloud System Integrator,AI Pioneers,Implement data governance frameworks and ensure compliance with data regulations.,Stage,Python - Tableau - Data Visualization - SQL Server
Sales Manager,Data Engineers United,Collaborate with stakeholders to implement data-driven strategies.,Freelance,GCP - Data Architecture - Java - Tableau - Numpy
Cloud System Integrator,Machine Learning Labs,Manage data warehouses and optimize query performance.,Stage,Data Mining - GCP - SQL Server - TensorFlow
Business Intelligence Analyst,Data Analytics Co.,Develop and deploy machine learning algorithms to solve complex problems.,CDI,Kubernetes - Hadoop - Oracle - GCP
Chef de Département,Cloud Innovators,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,Scikit-learn - Azure - React
AWS Cloud Architect,HRS HOSPITALITY & RETAIL SYSTEMS,Develop scalable and secure cloud-based data solutions.,Stage,Scikit-learn - Pandas - Kubernetes - Python
AI Specialist,Data Driven,Develop scalable and secure cloud-based data solutions.,CDD,SQL Server - Spark - TensorFlow - Machine Learning - Keras
Data Governance Lead,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Develop and deploy machine learning algorithms to solve complex problems.,CDI,Data Visualization - SQL Server - Tableau - NoSQL
Database Administrator,DataCorp,Develop scalable and secure cloud-based data solutions.,Freelance,Node.js - Data Visualization - GCP - Keras - Scikit-learn
Data Analyst,Tech Solutions,Implement data governance frameworks and ensure compliance with data regulations.,CDD,Tableau - Big Data - Node.js - Cloud Computing
Cloud Engineer,AI Pioneers,Collaborate with stakeholders to implement data-driven strategies.,CDD,Hadoop - SQL Server - R - Power BI
Cloud Engineer,Data Driven,Responsible for analyzing complex datasets to derive meaningful insights.,CDD,Docker - GCP - SQL Server - Oracle
Database Administrator,AFRICASHORE,Responsible for analyzing complex datasets to derive meaningful insights.,Stage,Hive - Python - Data Architecture - R - NoSQL
Data Architect,DataCorp,Provide technical expertise in data analysis and business intelligence.,CDI,Spark - Business Intelligence - Java - Data Architecture - Hadoop
Cloud Engineer,Data Masters,Design and maintain data architectures and pipelines for large scale data processing.,CDD,TensorFlow - Tableau - Scikit-learn - Keras - Oracle
Data Governance Lead,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Collaborate with stakeholders to implement data-driven strategies.,CDI,Node.js - Kubernetes - Machine Learning - Big Data - Oracle
Machine Learning Engineer,Future Data,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,Keras - Azure - Data Governance - NoSQL
Développeur Python,Machine Learning Labs,Manage data warehouses and optimize query performance.,Freelance,Pig - Data Architecture - TensorFlow - Java
Data Consultant,Machine Learning Labs,Leading the development of machine learning models to optimize business processes.,Stage,Oracle - Data Mining - SQL
Big Data Engineer,Machine Learning Labs,Collaborate with stakeholders to implement data-driven strategies.,Statutaire,Hadoop - React - Oracle - Pig
REACT Developer,AMENTYS,Leading the development of machine learning models to optimize business processes.,Statutaire,Power BI - SQL - Scikit-learn - Cloud Computing - Data Architecture
Data Engineer,AFRICASHORE,Implement data governance frameworks and ensure compliance with data regulations.,CDD,Hadoop - Docker - Hive - Oracle
Network Architect,HRS HOSPITALITY & RETAIL SYSTEMS,Collaborate with stakeholders to implement data-driven strategies.,Stage,Docker - Spark - NoSQL
PHP Developer,Data Driven,Work on data integration and ETL processes to ensure data quality.,Freelance,Pandas - Docker - React - SQL Server
Sales Manager,Data Driven,Develop and deploy machine learning algorithms to solve complex problems.,CDD,Numpy - Business Intelligence - GCP - NoSQL - Node.js
AZURE Solutions Architect,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Responsible for analyzing complex datasets to derive meaningful insights.,CDD,Pandas - Data Governance - NoSQL - Machine Learning - Tableau
Data Governance Lead,Future Data,Implement data governance frameworks and ensure compliance with data regulations.,Statutaire,Data Governance - Azure - Power BI - Scikit-learn
Data Scientist,Tech Innovators,Manage data warehouses and optimize query performance.,Stage,JavaScript - Big Data - Deep Learning - Hadoop - Data Visualization
Sales Manager,HRS HOSPITALITY & RETAIL SYSTEMS,Manage data warehouses and optimize query performance.,Statutaire,NoSQL - SQL - Data Governance - Deep Learning
Data Analyst,AFRICASHORE,Manage data warehouses and optimize query performance.,CDI,Machine Learning - Data Mining - Data Architecture
Cloud Engineer,AMENTYS,Design and maintain data architectures and pipelines for large scale data processing.,CDI,TensorFlow - AWS - Docker - Python
Data Analyst,Tech Innovators,Manage data warehouses and optimize query performance.,Freelance,TensorFlow - SQL - Tableau
Consultant SAP,DataCorp,Work on data integration and ETL processes to ensure data quality.,Freelance,Cloud Computing - JavaScript - Node.js - Deep Learning - Kubernetes
NODE.JS Developer,AI Pioneers,Work on data integration and ETL processes to ensure data quality.,CDD,Power BI - Hadoop - React - Hive
Database Administrator,Data Engineers United,Provide technical expertise in data analysis and business intelligence.,Stage,Keras - SQL Server - Pandas - Hive - Azure
Network Architect,Data Driven,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,Node.js - Numpy - Data Mining - SQL
PHP Developer,Cloud Innovators,Develop scalable and secure cloud-based data solutions.,Stage,Pandas - Node.js - Data Mining
Network Architect,Data Engineers United,Manage data warehouses and optimize query performance.,Freelance,AWS - Tableau - Spark - SQL - Machine Learning
Cyber Security Engineer,Data Driven,Responsible for analyzing complex datasets to derive meaningful insights.,Stage,Data Governance - Pig - Machine Learning - Data Architecture - SQL
Machine Learning Engineer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Manage data warehouses and optimize query performance.,CDI,React - Data Visualization - Data Governance - Data Mining - R
Data Governance Lead,Big Data Services,Provide technical expertise in data analysis and business intelligence.,Freelance,Azure - React - Hadoop - R - GCP
Cloud System Administrator,AFRICASHORE,Develop scalable and secure cloud-based data solutions.,Statutaire,Numpy - Node.js - Scikit-learn - SQL - Oracle
QA Tester,Data Driven,Develop scalable and secure cloud-based data solutions.,Statutaire,R - AWS - React
Cloud System Integrator,Tech Innovators,Design and maintain data architectures and pipelines for large scale data processing.,Freelance,Node.js - TensorFlow - Hive - AWS - React
SWIFT Developer,AMENTYS,Collaborate with stakeholders to implement data-driven strategies.,CDI,Java - TensorFlow - SQL - Docker - Data Governance
Network Architect,AI Pioneers,Design and maintain data architectures and pipelines for large scale data processing.,Freelance,Java - Big Data - Docker - SQL Server
Chef de Département,Cloud Innovators,Manage data warehouses and optimize query performance.,Freelance,Data Governance - SQL - Docker - SQL Server - Numpy
Cloud System Administrator,Tech Innovators,Responsible for analyzing complex datasets to derive meaningful insights.,Freelance,Cloud Computing - Business Intelligence - Spark
Développeur Python,Machine Learning Labs,Manage data warehouses and optimize query performance.,Statutaire,Hive - Business Intelligence - Scikit-learn
NODE.JS Developer,Cloud Innovators,Manage data warehouses and optimize query performance.,Stage,Big Data - React - Data Mining - Java
Chef de Département,Cloud Innovators,Develop scalable and secure cloud-based data solutions.,CDI,TensorFlow - Numpy - Oracle - Data Architecture
QA Tester,Data Engineers United,Leading the development of machine learning models to optimize business processes.,Freelance,Big Data - Azure - Docker
Data Analyst,Big Data Services,Provide technical expertise in data analysis and business intelligence.,CDD,React - Kubernetes - Azure - Oracle
REACT Developer,AMENTYS,Work on data integration and ETL processes to ensure data quality.,CDI,SQL Server - Numpy - Keras - Business Intelligence - Hive
Sales Manager,DataCorp,Develop and deploy machine learning algorithms to solve complex problems.,CDD,Oracle - Deep Learning - Business Intelligence - Data Mining - Hadoop
Cyber Security Engineer,AFRICASHORE,Implement data governance frameworks and ensure compliance with data regulations.,Stage,Data Mining - Scikit-learn - AWS - Data Architecture - React
SWIFT Developer,Tech Solutions,Provide technical expertise in data analysis and business intelligence.,CDI,Tableau - Node.js - Azure - Data Mining - Data Visualization
Développeur Python,Cloud Innovators,Implement data governance frameworks and ensure compliance with data regulations.,CDD,Machine Learning - Python - R - JavaScript - NoSQL
AI Specialist,Future Data,Develop scalable and secure cloud-based data solutions.,Freelance,Oracle - SQL Server - TensorFlow - Power BI
Cloud System Integrator,Tech Solutions,Develop and deploy machine learning algorithms to solve complex problems.,CDI,Power BI - Python - Java
Sales Manager,AMENTYS,Implement data governance frameworks and ensure compliance with data regulations.,Statutaire,Numpy - Hive - Scikit-learn - Pig
Data Architect,DataCorp,Responsible for analyzing complex datasets to derive meaningful insights.,Freelance,Deep Learning - Pig - Hadoop
Data Governance Lead,Machine Learning Labs,Work on data integration and ETL processes to ensure data quality.,Statutaire,Data Mining - Node.js - Docker - SQL Server - Java
QA Tester,AMENTYS,Develop scalable and secure cloud-based data solutions.,CDD,Docker - Data Visualization - Numpy
Data Architect,AI Pioneers,Develop scalable and secure cloud-based data solutions.,Stage,React - Data Mining - Spark - Big Data
Cloud Engineer,Big Data Services,Collaborate with stakeholders to implement data-driven strategies.,CDI,Data Governance - Business Intelligence - Data Mining - React - Pig
Sales Manager,Machine Learning Labs,Work on data integration and ETL processes to ensure data quality.,Stage,Data Visualization - Pandas - Kubernetes
Cloud Data Engineer,Big Data Services,Implement data governance frameworks and ensure compliance with data regulations.,Statutaire,Keras - Docker - NoSQL - Cloud Computing - Spark
NODE.JS Developer,Data Masters,Work on data integration and ETL processes to ensure data quality.,CDI,SQL Server - React - Oracle - Pig - AWS
Cloud Engineer,Tech Solutions,Design and maintain data architectures and pipelines for large scale data processing.,Statutaire,TensorFlow - Node.js - Numpy
Cyber Security Engineer,Data Engineers United,Responsible for analyzing complex datasets to derive meaningful insights.,Statutaire,Pandas - Hadoop - Data Governance - React - Deep Learning
NODE.JS Developer,AFRICASHORE,Implement data governance frameworks and ensure compliance with data regulations.,Stage,Java - Hive - Spark
JAVASCRIPT Developer,HRS HOSPITALITY & RETAIL SYSTEMS,Provide technical expertise in data analysis and business intelligence.,CDI,Azure - Kubernetes - Business Intelligence
Consultant SAP,AI Pioneers,Leading the development of machine learning models to optimize business processes.,Statutaire,NoSQL - Oracle - Python
Data Consultant,Tech Innovators,Responsible for analyzing complex datasets to derive meaningful insights.,Statutaire,Data Governance - Pig - Hadoop - Big Data - R
Big Data Engineer,Data Driven,Develop scalable and secure cloud-based data solutions.,CDD,Cloud Computing - Data Visualization - SQL Server - TensorFlow - Data Architecture
PHP Developer,AI Pioneers,Develop scalable and secure cloud-based data solutions.,Freelance,Tableau - Data Visualization - Oracle - Machine Learning - Deep Learning
Cyber Security Engineer,DataCorp,Develop and deploy machine learning algorithms to solve complex problems.,CDI,Keras - Data Architecture - Data Mining - Scikit-learn
Cloud System Integrator,Data Analytics Co.,Provide technical expertise in data analysis and business intelligence.,Statutaire,NoSQL - Kubernetes - Data Architecture - AWS
Développeur Python,Tech Solutions,Develop and deploy machine learning algorithms to solve complex problems.,Freelance,R - AWS - JavaScript - Docker
Cloud System Administrator,Future Data,Develop and deploy machine learning algorithms to solve complex problems.,Freelance,Pandas - React - NoSQL - Data Architecture
Cloud Engineer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Develop and deploy machine learning algorithms to solve complex problems.,Stage,Data Visualization - Keras - SQL
Cloud System Administrator,Machine Learning Labs,Responsible for analyzing complex datasets to derive meaningful insights.,Freelance,Data Governance - Cloud Computing - Numpy - Kubernetes
Big Data Engineer,Data Masters,Implement data governance frameworks and ensure compliance with data regulations.,Freelance,React - Data Visualization - Big Data - Data Governance
Consultant SAP,Data Engineers United,Implement data governance frameworks and ensure compliance with data regulations.,Stage,Python - Hadoop - Kubernetes - Spark - React
AI Specialist,HRS HOSPITALITY & RETAIL SYSTEMS,Implement data governance frameworks and ensure compliance with data regulations.,Freelance,Pig - Machine Learning - Node.js - Keras
Network Architect,Tech Solutions,Collaborate with stakeholders to implement data-driven strategies.,CDD,NoSQL - Pig - Tableau
Cloud System Integrator,Data Engineers United,Work on data integration and ETL processes to ensure data quality.,CDI,Big Data - JavaScript - SQL - GCP
Cyber Security Engineer,Data Analytics Co.,Leading the development of machine learning models to optimize business processes.,Stage,Spark - R - Big Data
Business Intelligence Analyst,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Design and maintain data architectures and pipelines for large scale data processing.,Stage,Hive - JavaScript - Data Governance - Kubernetes - NoSQL
SWIFT Developer,AMENTYS,Design and maintain data architectures and pipelines for large scale data processing.,CDD,Deep Learning - Keras - TensorFlow - Big Data
Cyber Security Engineer,Future Data,Collaborate with stakeholders to implement data-driven strategies.,Stage,JavaScript - Data Visualization - Scikit-learn - AWS
Cloud System Integrator,Cloud Innovators,Leading the development of machine learning models to optimize business processes.,CDD,Pig - Node.js - Numpy - AWS
Machine Learning Engineer,Machine Learning Labs,Work on data integration and ETL processes to ensure data quality.,Freelance,JavaScript - React - Deep Learning
NODE.JS Developer,Data Analytics Co.,Work on data integration and ETL processes to ensure data quality.,Stage,SQL - Data Architecture - Keras - Numpy
SWIFT Developer,Big Data Services,Work on data integration and ETL processes to ensure data quality.,Stage,JavaScript - Numpy - Kubernetes - Azure
QA Tester,Data Analytics Co.,Implement data governance frameworks and ensure compliance with data regulations.,Stage,Power BI - Data Architecture - Data Governance - TensorFlow - Hadoop
Consultant SAP,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Manage data warehouses and optimize query performance.,CDI,Python - Cloud Computing - Data Governance
Développeur Python,AMENTYS,Collaborate with stakeholders to implement data-driven strategies.,CDI,TensorFlow - Power BI - Azure - Pig - Oracle
Cloud Data Engineer,Data Masters,Manage data warehouses and optimize query performance.,Statutaire,Numpy - Kubernetes - Machine Learning - Scikit-learn
Data Scientist,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Implement data governance frameworks and ensure compliance with data regulations.,CDD,Hive - Azure - Node.js
Cloud Data Engineer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Collaborate with stakeholders to implement data-driven strategies.,CDD,Hive - Python - Kubernetes - Machine Learning - Business Intelligence
SWIFT Developer,Data Masters,Manage data warehouses and optimize query performance.,Statutaire,Data Visualization - Docker - Keras
Business Intelligence Analyst,Machine Learning Labs,Manage data warehouses and optimize query performance.,Stage,Pandas - React - Spark - Numpy - Scikit-learn
AI Specialist,Future Data,Leading the development of machine learning models to optimize business processes.,CDI,Data Mining - Spark - AWS - Numpy
Machine Learning Engineer,DataCorp,Collaborate with stakeholders to implement data-driven strategies.,Stage,Tableau - Hadoop - AWS - React
AI Specialist,Big Data Services,Develop scalable and secure cloud-based data solutions.,Stage,Kubernetes - Scikit-learn - Docker - Keras - Big Data
JAVASCRIPT Developer,AMENTYS,Manage data warehouses and optimize query performance.,Stage,Data Architecture - Python - GCP
Data Architect,Data Driven,Design and maintain data architectures and pipelines for large scale data processing.,CDI,Deep Learning - Hadoop - SQL - TensorFlow - Java
REACT Developer,Tech Innovators,Leading the development of machine learning models to optimize business processes.,Freelance,Python - Java - Scikit-learn
Data Engineer,Tech Innovators,Work on data integration and ETL processes to ensure data quality.,CDD,Deep Learning - AWS - Tableau - Keras
Data Consultant,Big Data Services,Implement data governance frameworks and ensure compliance with data regulations.,CDD,Deep Learning - Oracle - TensorFlow
Cloud Data Engineer,AMENTYS,Collaborate with stakeholders to implement data-driven strategies.,Freelance,Python - Azure - SQL - Big Data - TensorFlow
AZURE Solutions Architect,Cloud Innovators,Provide technical expertise in data analysis and business intelligence.,CDI,Numpy - Hive - Hadoop
QA Tester,Data Analytics Co.,Collaborate with stakeholders to implement data-driven strategies.,Statutaire,Pandas - Node.js - JavaScript
Cloud System Administrator,Tech Innovators,Implement data governance frameworks and ensure compliance with data regulations.,CDI,JavaScript - React - Cloud Computing - R - Spark
Data Consultant,Future Data,Implement data governance frameworks and ensure compliance with data regulations.,Freelance,Business Intelligence - SQL - React - Spark
Data Analyst,Tech Innovators,Manage data warehouses and optimize query performance.,Statutaire,Scikit-learn - AWS - Data Visualization - Keras - React
REACT Developer,Tech Innovators,Leading the development of machine learning models to optimize business processes.,Statutaire,Python - Kubernetes - Data Architecture - GCP
Network Architect,Big Data Services,Manage data warehouses and optimize query performance.,CDD,Power BI - Pig - Python - Data Governance - Big Data
AZURE Solutions Architect,Data Analytics Co.,Manage data warehouses and optimize query performance.,Statutaire,Tableau - SQL Server - Deep Learning - Spark - Java
Machine Learning Engineer,Future Data,Leading the development of machine learning models to optimize business processes.,Stage,Numpy - Pandas - TensorFlow
Data Architect,Big Data Services,Develop scalable and secure cloud-based data solutions.,Stage,Numpy - SQL Server - Spark - Scikit-learn - Data Mining
Data Architect,HRS HOSPITALITY & RETAIL SYSTEMS,Design and maintain data architectures and pipelines for large scale data processing.,Stage,Pig - Keras - Python
PHP Developer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Develop and deploy machine learning algorithms to solve complex problems.,CDD,Hive - Data Governance - TensorFlow - Spark - Hadoop
Chef de Département,Tech Innovators,Design and maintain data architectures and pipelines for large scale data processing.,CDD,Azure - Pandas - Hive
AWS Cloud Architect,Machine Learning Labs,Develop and deploy machine learning algorithms to solve complex problems.,Freelance,Data Mining - Data Governance - Deep Learning - Java
Cloud Data Engineer,Future Data,Implement data governance frameworks and ensure compliance with data regulations.,Statutaire,Numpy - Python - React - Azure - JavaScript
Développeur Python,Big Data Services,Leading the development of machine learning models to optimize business processes.,CDD,Data Architecture - Cloud Computing - JavaScript - Oracle - NoSQL
Big Data Engineer,AMENTYS,Develop and deploy machine learning algorithms to solve complex problems.,Stage,Big Data - Hive - Cloud Computing - SQL
REACT Developer,Data Driven,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,Pig - Machine Learning - Oracle - Azure - Big Data
NODE.JS Developer,Tech Innovators,Work on data integration and ETL processes to ensure data quality.,CDD,Python - TensorFlow - NoSQL - Java - Pig
Développeur Python,Future Data,Develop scalable and secure cloud-based data solutions.,CDD,Numpy - Docker - JavaScript
Cyber Security Engineer,Machine Learning Labs,Provide technical expertise in data analysis and business intelligence.,CDD,SQL Server - Docker - Scikit-learn - Oracle - Big Data
Chef de Département,Tech Innovators,Manage data warehouses and optimize query performance.,CDD,NoSQL - Tableau - Cloud Computing - Python
Big Data Engineer,Machine Learning Labs,Develop scalable and secure cloud-based data solutions.,CDD,GCP - Cloud Computing - SQL
Data Analyst,Tech Innovators,Develop scalable and secure cloud-based data solutions.,CDI,Data Governance - SQL Server - Deep Learning - Business Intelligence - Node.js
Développeur Python,Data Driven,Implement data governance frameworks and ensure compliance with data regulations.,CDD,Keras - Data Visualization - TensorFlow - Deep Learning - Data Governance
Cloud Data Engineer,Machine Learning Labs,Implement data governance frameworks and ensure compliance with data regulations.,Freelance,GCP - Machine Learning - Hive - Azure - Data Mining
AI Specialist,AMENTYS,Develop and deploy machine learning algorithms to solve complex problems.,Stage,Python - Pandas - Cloud Computing - Big Data - AWS
Data Analyst,AI Pioneers,Collaborate with stakeholders to implement data-driven strategies.,CDD,Numpy - React - Power BI
PHP Developer,DataCorp,Provide technical expertise in data analysis and business intelligence.,Statutaire,Java - Tableau - Numpy - Azure
REACT Developer,Big Data Services,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,Hive - Data Governance - Azure
Développeur Python,Data Analytics Co.,Develop scalable and secure cloud-based data solutions.,CDD,Business Intelligence - Keras - Pig - Hadoop
Cloud System Administrator,Future Data,Design and maintain data architectures and pipelines for large scale data processing.,Stage,Docker - SQL Server - SQL - Node.js
Data Analyst,Data Masters,Implement data governance frameworks and ensure compliance with data regulations.,Statutaire,Node.js - Business Intelligence - Data Architecture - R
AZURE Solutions Architect,DataCorp,Responsible for analyzing complex datasets to derive meaningful insights.,Statutaire,Oracle - Hive - React
Data Engineer,Data Driven,Implement data governance frameworks and ensure compliance with data regulations.,Stage,Azure - Numpy - AWS - Tableau - React
PHP Developer,HRS HOSPITALITY & RETAIL SYSTEMS,Implement data governance frameworks and ensure compliance with data regulations.,CDD,R - Spark - Tableau - Java - Deep Learning
Business Intelligence Analyst,DataCorp,Leading the development of machine learning models to optimize business processes.,CDD,R - React - Azure - Node.js
NODE.JS Developer,Future Data,Provide technical expertise in data analysis and business intelligence.,Stage,Data Visualization - Python - Pig - Hive - Keras
Cloud Data Engineer,Data Engineers United,Develop scalable and secure cloud-based data solutions.,Freelance,NoSQL - TensorFlow - Oracle - JavaScript
Network Architect,Data Analytics Co.,Develop and deploy machine learning algorithms to solve complex problems.,CDI,Scikit-learn - TensorFlow - Big Data
Big Data Engineer,Data Masters,Develop and deploy machine learning algorithms to solve complex problems.,CDI,JavaScript - Pig - Big Data - R - SQL Server
Data Consultant,AFRICASHORE,Collaborate with stakeholders to implement data-driven strategies.,Freelance,Pig - NoSQL - SQL Server - Cloud Computing
